HORA: Fri Oct 04 08:41:42 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Fri Oct 04 08:46:48 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Fri Oct 04 08:48:17 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Fri Oct 04 08:48:27 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:10:39 BRT 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.exception.ConstraintViolationException: could not execute statement
HORA: Wed Oct 23 13:11:41 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:15:26 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:17:25 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:17:46 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:24:03 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:31:48 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:44:11 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:45:45 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 13:45:45 BRT 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.PersistentObjectException: detached entity passed to persist: entidade.ComodosProjetos
HORA: Wed Oct 23 13:46:54 BRT 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.PersistentObjectException: detached entity passed to persist: entidade.ComodosProjetos
HORA: Wed Oct 23 13:48:08 BRT 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.PersistentObjectException: detached entity passed to persist: entidade.ComodosProjetos
HORA: Wed Oct 23 14:00:36 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:00:36 BRT 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.PersistentObjectException: detached entity passed to persist: entidade.ComodosProjetos
HORA: Wed Oct 23 14:21:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:01 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:02 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:27 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:27 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:39 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:25:42 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:32:57 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:36:12 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:36:12 BRT 2019 | ERRO: java.lang.IllegalArgumentException: attempt to create merge event with null entity
HORA: Wed Oct 23 14:36:12 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:36:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:36:23 BRT 2019 | ERRO: java.lang.IllegalArgumentException: attempt to create merge event with null entity
HORA: Wed Oct 23 14:36:23 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:37:18 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:37:18 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:40:07 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Wed Oct 23 14:40:08 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 08:53:29 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 08:53:31 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 08:57:35 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 08:57:35 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 08:57:49 BRT 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Oct 24 08:57:49 BRT 2019 | ERRO: java.lang.NullPointerException
